                     CONTENTS OF LISP1.ZIP

8087     ASM     8125       Assembler macros for 8087 instructions
AUTODEX  EXE    32000       Fantastic fullscreen directory/file manipulater
CC       C       3544       C source program checker, catches mismatched parens
DOSINTS  TXT     5940       Tells all about secret DOS interrupt functions!
DOS_ERR  TXT     3456       Information on DOS I/O redirection bugs
FIND     PAT     1024       Patch to DOS FIND command, makes it a better filter
LOAD     COM      291       Load COM files bigger than 64K: LOAD <file name>
LOAD     ASM     4637       Source for above
MENUMAKR BAS     3796       Interactively create menus callable from basic
PIL      LSP     4608       Micro-Prolog interpreter written in XLISP
PTURTLE  LSP     4096       Programmable logo turtle written in XLISP
STEEPDES APL     9856       Steepest descent equation solution in APL
TURTLE   LSP     3584       Interactive logo turtle programmed in XLISP
XLISP    DOC    27049       Documentation for XLISP Interpreter
XLISP    EXE    43776       A Lisp interpreter with object-oriented extensions
